timestamp,severity,alert_type,description,minutes_ago,source_ip,destination_ip,status
2025-01-26 14:58:00,Critical,Tentative d'authentification anormale,Multiple failed admin login attempts,2,203.0.113.45,192.168.1.10,Active
2025-01-26 14:53:00,High,Connexion admin suspecte,Suspicious admin connection from unusual location,7,198.51.100.25,192.168.1.5,Active
2025-01-26 14:48:00,Medium,Requête DNS malveillante,Malicious DNS query detected,12,192.168.1.100,8.8.8.8,Active
2025-01-26 14:42:00,High,Activité inhabituelle endpoint,Unusual endpoint activity detected,18,192.168.1.150,10.0.0.5,Active
2025-01-26 14:35:00,Critical,Ransomware Detection,Ransomware encryption activity,25,192.168.1.75,192.168.1.200,Active
2025-01-26 14:30:00,Medium,Port Scan,Port scanning activity detected,30,203.0.113.100,192.168.1.0,Active
2025-01-26 14:25:00,High,Data Exfiltration,Large data transfer to external server,35,192.168.1.50,8.8.8.8,Active
2025-01-26 14:20:00,Low,Policy Violation,Access to blocked website,40,192.168.1.25,social.media.com,Active
2025-01-26 14:15:00,Critical,Command Injection,SQL injection attempt detected,45,198.51.100.50,192.168.1.30,Active
2025-01-26 14:10:00,Medium,Brute Force,SSH brute force attack,50,203.0.113.200,192.168.1.15,Active
2025-01-26 14:05:00,High,Malware Detection,Trojan detected in email attachment,55,192.168.1.80,mail.company.com,Active
2025-01-26 14:00:00,Low,DNS Tunneling,Suspicious DNS queries,60,192.168.1.90,1.1.1.1,Active
2025-01-26 13:55:00,Critical,APT Activity,Advanced persistent threat indicators,65,203.0.113.150,192.168.1.20,Active
2025-01-26 13:50:00,High,Phishing Attempt,Suspicious email with malicious link,70,192.168.1.120,mail.company.com,Active
2025-01-26 13:45:00,Medium,Lateral Movement,Suspicious lateral movement detected,75,192.168.1.60,192.168.1.70,Active
2025-01-26 13:40:00,Low,Anomalous Traffic,Unusual network traffic pattern,80,192.168.1.110,10.0.0.10,Active
2025-01-26 13:35:00,Critical,Privilege Escalation,Unauthorized privilege escalation attempt,85,192.168.1.130,192.168.1.140,Active
2025-01-26 13:30:00,High,C2 Communication,Command and control communication detected,90,198.51.100.75,192.168.1.35,Active
2025-01-26 13:25:00,Medium,File Integrity,Critical file modification detected,95,192.168.1.160,192.168.1.170,Active
2025-01-26 13:20:00,Low,Baseline Deviation,System behavior deviation from baseline,100,192.168.1.180,192.168.1.190,Active
